COST,Costco Wholesale Corp.,Consumer,https://en.wikipedia.org/wiki/Costco_Wholesale_Corp.
COTY,"Coty, Inc",Consumer,"https://en.wikipedia.org/wiki/Coty,_Inc"
CCI,Crown Castle International Corp.,Real Estate,https://en.wikipedia.org/wiki/Crown_Castle_International_Corp.
CSRA,CSRA Inc.,IT,https://en.wikipedia.org/wiki/CSRA_(IT_services_company)
CSX,CSX Corp.,Industrials,https://en.wikipedia.org/wiki/CSX_Corp.
CMI,Cummins Inc.,Industrials,https://en.wikipedia.org/wiki/Cummins_Inc.
CVS,CVS Health,Consumer,https://en.wikipedia.org/wiki/CVS_Health
DHI,D. R. Horton,Consumer,https://en.wikipedia.org/wiki/D._R._Horton
DHR,Danaher Corp.,Health Care,https://en.wikipedia.org/wiki/Danaher_Corp.
DRI,Darden Restaurants,Consumer,https://en.wikipedia.org/wiki/Darden_Restaurants
DVA,DaVita Inc.,Health Care,https://en.wikipedia.org/wiki/DaVita
DE,Deere & Co.,Industrials,https://en.wikipedia.org/wiki/Deere_%26_Co.
DLPH,Delphi Automotive PLC,Consumer,https://en.wikipedia.org/wiki/Delphi_Automotive
DAL,Delta Air Lines Inc.,Industrials,https://en.wikipedia.org/wiki/Delta_Air_Lines
XRAY,Dentsply Sirona,Health Care,https://en.wikipedia.org/wiki/Dentsply_Sirona
DVN,Devon Energy Corp.,Energy,https://en.wikipedia.org/wiki/Devon_Energy
DLR,Digital Realty Trust Inc,Real Estate,https://en.wikipedia.org/wiki/Digital_Realty
DFS,Discover Financial Services,Financials,https://en.wikipedia.org/wiki/Discover_Financial_Services
DISCA,Discovery Communications-A,Consumer,https://en.wikipedia.org/wiki/Discovery_Communications
DISCK,Discover Communications-C,Consumer,https://en.wikipedia.org/wiki/Discovery_Communications
DISH,Dish Network,Consumer,https://en.wikipedia.org/wiki/Dish_Network
DG,Dollar General,Consumer,https://en.wikipedia.org/wiki/Dollar_General
DLTR,Dollar Tree,Consumer,https://en.wikipedia.org/wiki/Dollar_Tree
D,Dominion Resources,Utilities,https://en.wikipedia.org/wiki/Dominion_Resources
DOV,Dover Corp.,Industrials,https://en.wikipedia.org/wiki/Dover_Corp.
DOW,Dow Chemical,Materials,https://en.wikipedia.org/wiki/Dow_Chemical
DPS,Dr Pepper Snapple Group,Consumer,https://en.wikipedia.org/wiki/Dr_Pepper_Snapple_Group
DTE,DTE Energy Co.,Utilities,https://en.wikipedia.org/wiki/DTE_Energy
DD,Du Pont (E.I.),Materials,https://en.wikipedia.org/wiki/Du_Pont_(E.I.)
DUK,Duke Energy,Utilities,https://en.wikipedia.org/wiki/Duke_Energy
DXC,DXC Technology,IT,https://en.wikipedia.org/wiki/DXC_Technology
ETFC,E*Trade,Financials,https://en.wikipedia.org/wiki/E*Trade
EMN,Eastman Chemical,Materials,https://en.wikipedia.org/wiki/Eastman_Chemical
ETN,Eaton Corporation,Industrials,https://en.wikipedia.org/wiki/Eaton_Corporation
EBAY,eBay Inc.,IT,https://en.wikipedia.org/wiki/EBay
ECL,Ecolab Inc.,Materials,https://en.wikipedia.org/wiki/Ecolab
EIX,Edison Int'l,Utilities,https://en.wikipedia.org/wiki/Edison_Int%27l
EW,Edwards Lifesciences,Health Care,https://en.wikipedia.org/wiki/Edwards_Lifesciences
EA,Electronic Arts,IT,https://en.wikipedia.org/wiki/Electronic_Arts
EMR,Emerson Electric Company,Industrials,https://en.wikipedia.org/wiki/Emerson_Electric_Company
ETR,Entergy Corp.,Utilities,https://en.wikipedia.org/wiki/Entergy_Corp.
